work_id,composer,title,detail,current,would_become,signal_lost
540097,"Bruzdowicz-Tittel, Joanna",Symfonia,"Concerto: guitar (2), percussion - string quartet (or chamber orchestra)",Guitar and Orchestra,Guitar and Percussion,orchestra
540384,"Bullard, Alan",Recipes,"Chamber Music: soprano recorder, guitar (or piano or string orchestra or string quartet)",Guitar and Orchestra,Guitar and Voice,orchestra
542339,"Carulli, Ferdinando","Guitar Concerto in A major, Op.8 (Carulli, Ferdinando)","guitar, strings (or orchestra)",Guitar and Orchestra,Duo,orchestra
542340,"Carulli, Ferdinando","Guitar Concerto in E minor, Op.140 (Carulli, Ferdinando)","guitar, strings (or orchestra)",Guitar and Orchestra,Duo,orchestra
546096,"Craton, John",Bloemen van Spanje,Concerto: guitar (2) - strings (or mandolin orchestra),Guitar and Orchestra,Duo,orchestra
546102,"Crawley, Clifford",The Walkerville Suite,"Ensemble: guitar or keyboard (ad lib.), string quartet (or string orchestra)",Guitar and Orchestra,Duo,orchestra
548956,"Dirmeikis, Paul",Azha,"Chamber Music: electric bass (or double bass), vibraphone",Duo,Guitar and Voice,double bass
552713,"Ferrandiere, Fernando","Guitar Sonata No.3 (Ferrandiere, Fernando)","guitar, continuo (or double bass or cello?)",Guitar and Cello,Duo,double bass
553869,"Forrest, Andrew",Elegy,"Quartet: requinto, guitar (2), bass guitar (or Niibori guitar orchestra)",Guitar and Orchestra,Duo,orchestra
553894,"Forrest, Andrew",primavera,"Quartet: requinto, guitar (2), bass guitar (or Niibori guitar orchestra)",Guitar and Orchestra,Duo,orchestra
553911,"Forrest, Andrew",Vyletel Vták,"Quartet: requinto, guitar (2), bass guitar (or guitar orchestra or Niibori guitar orchestra)",Guitar and Orchestra,Duo,orchestra
554056,"Fortino, Gianluca",Glissamba,Trio: guitar trio (or orchestra of plucked instruments),Guitar and Orchestra,Trio,orchestra
558528,"Gross, Eric",Intermezzo,"Quartet: guitar (3), electric bass (or double bass)",Duo,Guitar and Voice,double bass
559532,"Hakenberg, Stefan",Of Charlie's Amputation,"Plucked Instruments: mandolin (2), mandola, guitar (2), double bass (or mandolin orchestra)",Guitar and Orchestra,Duo,orchestra
560197,"Haubenstock-Ramati, Roman",Frame,"Solo: guitar (or guitar, violoncello or double bass)",Guitar and Cello,Solo,double bass
561729,"Hoffman, Stanley M.",There Is a Name,Chorus and Guitar: SA chorus - amplified classical guitar (or orchestra),Guitar and Orchestra,Guitar and Voice,orchestra
565842,"Kenins, Talivaldis",Suite en concert,Concerto: guitar (2) - string quartet (or string orchestra),Guitar and Orchestra,Duo,orchestra
567420,"Kourmadas, Leonidas",Lament,"Chamber Music: soprano saxophone, guitar (or chamber orchestra)",Guitar and Orchestra,Guitar and Voice,orchestra
567421,"Kourmadas, Leonidas",Lullabies for Elli,"Chamber Music: flute, guitar, violin (or chamber orchestra)",Guitar and Orchestra,Trio,orchestra
569885,"Lee, Alexander","Come Where the Aspens Quiver (Lee, Alexander)","voice, piano (or orchestra) or guitar (different versions)",Guitar and Orchestra,Guitar and Voice,orchestra
579405,"Novák, Jan",Choreae vernales,"Chamber Music: flute, guitar (or piano or string orchestra)",Guitar and Orchestra,Guitar and Flute,orchestra
584721,"Pujol, Maximo Diego",Conurbano,"Concerto: bandoneón, guitar - guitar ensemble (or string orchestra)",Guitar and Orchestra,Duo,orchestra
585095,"Pérez, Sergio Aarón","Llegando a la ciudad del olvido (Pérez, Sergio Aarón)",4 guitars (or guitar orchestra),Guitar and Orchestra,Quartet,orchestra
585096,"Pérez, Sergio Aarón","Miniatura para contemplar (Pérez, Sergio Aarón)",4 guitars (or guitar orchestra),Guitar and Orchestra,Quartet,orchestra
587896,"Romero, Manly",Doppelgänger,"Ensemble: trumpet (2), violin (2) - 1.1.1.1 - 1.0.1.0 - 2perc-pft-hrp-egtr-bgtr - 1.0.1.1.0 (or small string orchestra)",Guitar and Orchestra,Guitar and Violin,orchestra
588076,"Rosaz, Jean-Christophe",Hommage au Tango,"Chamber Music: guitar, violoncello (or violin or viola or double bass)",Guitar and Violin,Guitar and Cello,double bass
601611,"Walter, Fried",Suite für Gitarre und Streicher,"Chamber Music: guitar, string quartet (or string orchestra)",Guitar and Orchestra,Duo,orchestra
