work_id,composer,title,detail,was,now
531348,"Alba, Antonio","Coqueta, Op.51 (Alba, Antonio)","2 bandurrias (or mandolins), guitar",Guitar and Mandolin,Duo
531358,"Alba, Antonio","La Czarine, Op.42 (Alba, Antonio)","2 bandurrias (or 2 mandolins), guitar",Guitar and Mandolin,Duo
531359,"Alba, Antonio","La Gioconda, Op.49 (Alba, Antonio)","2 bandurrias (or mandolins), guitar",Guitar and Mandolin,Duo
531360,"Alba, Antonio","La Giralda, Op.41 (Alba, Antonio)","2 bandurrias (or 2 mandolins), guitar",Guitar and Mandolin,Duo
531362,"Alba, Antonio","La maś pícara, Op.34 (Alba, Antonio)","2 bandurria (or mandolins), guitar",Guitar and Mandolin,Duo
531365,"Alba, Antonio","Las Amapolas, Op.46 (Alba, Antonio)","2 bandurrias (or 2 mandolins), guitar",Guitar and Mandolin,Duo
531367,"Alba, Antonio","Lejos del Baile, Op.44 (Alba, Antonio)","2 bandurria (or 2 mandolins), guitar",Guitar and Mandolin,Duo
531369,"Alba, Antonio","Los Cocineros, Op.53 (Alba, Antonio)","2 bandurrias (or mandolins), guitar",Guitar and Mandolin,Duo
531374,"Alba, Antonio","Memorias de un Estudiante, Op.43 (Alba, Antonio)","2 bandurrias (or 2 mandolins), guitar",Guitar and Mandolin,Duo
531379,"Alba, Antonio","Pas de Quatre, Op.48 (Alba, Antonio)","2 bandurrias (or 2 mandolins), guitar",Guitar and Mandolin,Duo
531385,"Alba, Antonio","Preciosa, Op.50 (Alba, Antonio)","2 bandurrias (or mandolins), guitar",Guitar and Mandolin,Duo
531393,"Alba, Antonio","Sylvia, Op.52 (Alba, Antonio)","2 bandurrias (or mandolins), guitar",Guitar and Mandolin,Duo
531398,"Alba, Antonio","Vals Español, Op.35 (Alba, Antonio)","bandurria (or mandolin), guitar; guitar",Guitar and Mandolin,Duo
531399,"Alba, Antonio","Valse Espagnol, Op.40 (Alba, Antonio)","2 bandurrias (or 2 mandolins), guitar",Guitar and Mandolin,Duo
533002,"Armstrong, Peter McKenzie",Stuckle,"Chamber Music: flute, guitar (or piano)",Guitar and Piano,Guitar and Flute
533090,"Arteaga, Edward",Spanish Serenade,"Chamber Music: guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
533410,"Autenrieth, Ronald",Souvenir d’Italie,"Chamber Music: recorder, guitar (or piano)",Guitar and Piano,Guitar and Recorder
534157,"Ball, William","The London Spring Annual for 1834 (Ball, William)","voice, piano; 3 voices, piano (or voice, mixed chorus, piano); voice, guitar; 2 soprano voices, guitar; piano solo",Ensemble,Guitar and Voice
534518,"Barrell, Bernard",Three Preludes,"Chamber Music: alto recorder (or flute), guitar",Guitar and Flute,Guitar and Recorder
534608,"Barrios Mangoré, Agustín","Danza paraguaya (Barrios Mangoré, Agustín)",1 (or 2) guitars,Other,Solo
534817,"Bashaw, Howard",Horos,"Ensemble: guitar (6), double bass (6) (or guitar, double bass - recorded tracks)",Trio,Duo
534873,"Bates, C.M.","Aren't We Talented? No, it's just hard work (Bates, C.M.)",guitar (or 2 guitars),Duo,Solo
535359,"Beauvais, William",Puppet Song and Dance,"Chamber Music: guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
535513,"Beckler, Stanworth",Little String Sonata,"Chamber Music: guitar (or piano), double bass",Guitar and Piano,Duo
535555,"Beecroft, Norma",Tre Pezzi Brevi,"Chamber Music: flute, guitar (or piano or harp)",Guitar and Piano,Guitar and Flute
535741,"Behrend, Siegfried",Spielmusik,"Chamber Music: flute (or oboe, or violin), guitar",Trio,Guitar and Flute
536077,"Benati, Chiara",Otto studi sulla lontananza,"Chamber Music: flute, guitar (or violoncello, guitar)",Trio,Guitar and Flute
536697,"Bevilacqua, Matteo","10 Petits duos concertans, Op.10 (Bevilacqua, Matteo)","guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
537022,"Bitzan, Wendelin","Song without Words, EV 69 (Bitzan, Wendelin)",guitar (or harp or piano),Other,Solo
537166,"Blake, Michael",Leaf Carrying Song,"Chamber Music: oboe d'amore (or oboe or flute), ten-string guitar",Guitar and Flute,Guitar and Oboe
537514,"Boden, Andrew David","3 Duets for Eric (Boden, Andrew David)","2 mandolins (or mandolin and violin), guitar (optional)",Guitar and Violin,Guitar and Mandolin
537637,"Bogdanović, Dušan",Deep Voices,"Chamber Music: guitar, violoncello (or bassoon)",Guitar and Voice,Guitar and Cello
537711,"Bogdanović, Dušan",Ricercar,"Chamber Music: clarinet (or violin), guitar",Guitar and Violin,Guitar and Clarinet
537739,"Bogdanović, Dušan",Talisman,Trio: guitar trio (or guitar duo and violoncello),Duo,Trio
538039,"Bonnard, Alain",Élégie Amoureuse,"Chamber Music: guitar, harp (or harpsichord)",Guitar and Piano,Guitar and Harp
538111,"Borg, Matti",Eventyrsange - efter H. C. Andersen,"Chamber Music: guitar, violin (or piano)",Guitar and Piano,Guitar and Violin
538134,"Borghese, Antonio D. R.","6 Variations on 'Nel cor più non mi sento' (Borghese, Antonio D. R.)",guitar (or lyre-guitar),Other,Solo
538623,"Boutros, Laurent",Amasia,"Chamber Music: clarinet (or flute or violin), guitar",Guitar and Flute,Guitar and Clarinet
538898,"Brady, Lincoln","Torquay, 1930","Chamber Music: clarinet (or violin), guitar",Guitar and Violin,Guitar and Clarinet
539012,"Braid, David",Continuous Song,"Chamber Music: guitar (or piano), viola",Guitar and Piano,Guitar and Viola
539167,"Brandström, Christer",Fantasia sopra Via crucis Jesu Christi,"Chamber Music: guitar (or piano), viola",Guitar and Piano,Guitar and Viola
539337,"Braun, Peter Michael",Monophonie,Solo: guitar (or electric guitar),Electric Guitar,Solo
539338,"Braun, Peter Michael",Wei Wu Wei,"Chamber Music: high wind instrument (2), guitar (or marimbaphone)",Guitar and Percussion,Duo
539704,"Brooks, Richard","Incidental Music for Elizabeth, the Queen","Incidental and Film: flute, recorder consort, trumpet (2), percussion, guitar (or lute)",Plucked Instruments,Other
539922,"Brown, Ryan",Thick Skin,"Ensemble: amplified bassoon (or bass clarinet), brass quartet, drum kit, electric guitar, electric bass",Quartet,Guitar and Voice
539927,"Brown, Stephen",I See the Moon,"Chamber Music: flute (or clarinet or violin or mandolin or accordion), guitar (or piano)",Guitar and Piano,Guitar and Flute
540114,"Bryars, Gavin",Allegrasco,"Chamber Music: clarinet solo (or soprano saxophone solo) - electric guitar, percussion (2), violin, double bass",Guitar and Voice,Quartet
540182,"Bröndum, Lars",Nocturne and Capriccio,"Chamber Music: oboe (or flute), guitar",Guitar and Flute,Guitar and Oboe
540382,"Bullard, Alan",Galloway Sketches,"Chamber Music: recorder (treble doubling descant and optional garklein), guitar (or piano)",Guitar and Piano,Guitar and Recorder
540383,"Bullard, Alan",Hat Box,"Chamber Music: recorder, guitar (or piano)",Guitar and Piano,Guitar and Recorder
540474,"Burke, Walter","By the Shimmering Sea (Burke, Walter)",guitar (or harp guitar),Other,Solo
540822,"Błażejczyk, Wojciech",Obłęd,Trio: guitar trio (or duo),Duo,Trio
540933,"Caiazza, Marco",Arabesque,"Chamber Music: clarinet (or flute), guitar",Guitar and Flute,Guitar and Clarinet
540937,"Caiazza, Marco",Ethos,"Chamber Music: clarinet (or flute), guitar",Guitar and Flute,Guitar and Clarinet
540942,"Caiazza, Marco",Retratos,"Chamber Music: clarinet (or flute), guitar",Guitar and Flute,Guitar and Clarinet
540945,"Caiazza, Marco",Voyager,"Chamber Music: guitar (or piano), violin (or flute or clarinet)",Guitar and Piano,Guitar and Violin
541112,"Call, Leonhard von","Serenade for 2 Flutes and Guitar, Op.92 (Call, Leonhard von)","2 flutes (or flute, violin), guitar",Trio,Guitar and Flute
541119,"Call, Leonhard von","Serenade for Guitar and Cello, Op.99 (Call, Leonhard von)","cello (or violin), guitar",Guitar and Violin,Guitar and Cello
541127,"Call, Leonhard von","Serenade for Guitar and Violin, Op.54 (Call, Leonhard von)","violin (or flute), guitar",Guitar and Flute,Guitar and Violin
541147,"Call, Leonhard von","Sérénade, Op.65 (Call, Leonhard von)","violin (or flute), guitar",Guitar and Flute,Guitar and Violin
541161,"Call, Leonhard von","Variations for Guitar and Mandolin, Op.111 (Call, Leonhard von)","mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
541359,"Campbell, John Allison",Serenata No.1,"Chamber Music: flute, clarinet, guitar (or guitar, violin, viola)",Chamber Music,Trio
541393,"Campion, François","Suite d'airs de danse (Campion, François)",guitar (or theorbo),Plucked Instruments,Solo
541592,"Carastathis, Aris",Encounters,"Chamber Music: guitar (or piano), viola",Guitar and Piano,Guitar and Viola
541761,"Carcassi, Matteo","Variations on 'Au Clair de la Lune', Op.7 (Carcassi, Matteo)",Guitar (or lyre guitar),Other,Solo
541843,"Carfagna, Carlo",Dedicatoria,"Chamber Music: oboe (or other melody instrument), guitar (or piano)",Guitar and Piano,Guitar and Oboe
542059,"Carpentras, Louis-Ange","Guitar Sonate Brillante, Op.1 (Carpentras, Louis-Ange)",guitar (or lyre-guitar),Other,Solo
542195,"Carulli, Ferdinando","2 Nocturnes, Op.208 (Carulli, Ferdinando)","guitar, violin, viola, cello (or guitar, piano)",Other,Quartet
542199,"Carulli, Ferdinando","2 Solos, Op.207 (Carulli, Ferdinando)","guitar, violin, viola, cello (or guitar, piano)",Other,Quartet
542263,"Carulli, Ferdinando","6 Contredanses quadrilles, Op.193 (Carulli, Ferdinando)",guitar (or 2 guitars),Duo,Solo
542314,"Carulli, Ferdinando","Fantaisie avec variations sur des airs de 'La gazza ladra', Op.197 (Carulli, Ferdinando)","violin (or flute), guitar",Guitar and Flute,Guitar and Violin
542930,"Castro, Salvador","Methode de Guitare ou Lyre (Castro, Salvador)",guitar (or lyre-guitar),Other,Solo
542931,"Castro, Salvador","Mélange d'Airs ou Pot-Pourri, Op.12 (Castro, Salvador)",guitar (or lyre-guitar),Other,Solo
